Departure,Return,Departure station id,Departure station name,Return station id,Return station name,Covered distance (m),Duration (sec
2021-05-31T23:10:17,2021-05-31T23:21:34,900,Orionintie,555,Kalevalantie,2450,"{"")"":672}"
2021-05-31T23:10:10,2021-05-31T23:23:26,73,Kesäkatu,118,Fleminginkatu,2789,"{"")"":792}"
2021-05-31T23:10:01,2021-05-31T23:20:34,30,Itämerentori,27,Eerikinkatu,1429,"{"")"":629}"
2021-05-31T23:05:53,2021-05-31T23:13:39,625,Suomenlahdentie,603,Matinlahdenranta,1774,"{"")"":461}"
2021-05-31T23:05:38,2021-05-31T23:10:48,711,Kirjurinkuja,719,Säteri,1210,"{"")"":305}"
2021-05-31T23:05:38,2021-05-31T23:08:15,609,Sepetlahdentie,607,Nuottaniementie,665,"{"")"":152}"
2021-05-31T23:05:22,2021-05-31T23:12:55,239,Viikin tiedepuisto,240,Viikin normaalikoulu,1403,"{"")"":452}"
2021-05-31T23:05:10,2021-05-31T23:10:25,270,Tulisuontie,262,Siilitie (M),1235,"{"")"":311}"
2021-05-31T23:03:42,2021-05-31T23:15:16,627,Piispansilta,607,Nuottaniementie,2178,"{"")"":689}"
2021-05-31T23:03:38,2021-05-31T23:15:29,631,Friisilänaukio,625,Suomenlahdentie,1417,"{"")"":707}"
2021-05-31T23:03:03,2021-05-31T23:13:32,37,Töölönkatu,45,Brahen kenttä,2083,"{"")"":628}"
2021-05-31T23:02:23,2021-05-31T23:08:06,18,Porthania,2,Laivasillankatu,1184,"{"")"":338}"
2021-05-31T23:02:03,2021-05-31T23:22:39,63,Jätkäsaarenlaituri,124,Isoisänsilta,5606,"{"")"":1234}"
2021-05-31T23:02:03,2021-05-31T23:26:59,130,Teollisuuskatu,143,Kuikkarinne,7510,"{"")"":1491}"
2021-05-31T23:00:51,2021-05-31T23:38:04,653,Lukutori,653,Lukutori,2519,"{"")"":2229}"
2021-05-31T23:08:29,2021-05-31T23:15:17,731,Leppävaarankäytävä,707,Majurinkulma,1433,"{"")"":401}"
2021-05-31T23:00:32,2021-05-31T23:24:17,763,Kalkkipellonmäki,105,Tilkantori,5093,"{"")"":1425}"
2021-05-31T23:09:57,2021-05-31T23:19:22,553,Metsänneidonpolku,547,Jämeräntaival,2200,"{"")"":564}"
2021-05-31T23:09:26,2021-05-31T23:22:29,13,Merisotilaantori,21,Töölönlahdenkatu,2922,"{"")"":779}"
